index,Time,CHARGE
G0602,12,0.0
G0602,13,0.0
G0602,14,0.0
G0602,15,0.0
G0602,16,0.0
G0602,17,0.0
G0602,18,0.0
G0602,19,0.0
G0602,20,0.0
G0602,21,0.0
G0602,22,0.0
G0602,23,0.0
G0602,24,0.0
G0637,1,0.0
G0637,2,0.0
G0637,3,0.0
G0637,4,0.0
G0637,5,0.0
G0637,6,0.0
G0637,7,0.0
G0637,8,0.0
G0637,9,0.0
G0637,10,0.0
G0637,11,0.0
G0637,12,0.0
G0637,13,0.0
G0637,14,0.0
G0637,15,0.0
G0637,16,0.0
G0637,17,0.0
G0637,18,0.0
G0637,19,0.0
G0637,20,0.0
G0637,21,0.0
G0637,22,0.0
G0637,23,0.0
G0637,24,0.0
G0651,1,0.0
G0651,2,0.0
G0651,3,0.0
G0651,4,0.0
G0651,5,0.0
G0651,6,0.0
G0651,7,0.0
G0651,8,0.0
G0651,9,0.0
G0651,10,0.0
G0651,11,0.0
G0651,12,0.0
G0651,13,0.0
G0651,14,0.0
G0651,15,0.0
G0651,16,0.0
G0651,17,0.0
G0651,18,0.0
G0651,19,0.0
G0651,20,0.0
G0651,21,0.0
G0651,22,0.0
G0651,23,0.0
G0651,24,0.0
G0674,1,0.0
G0674,2,0.0
G0674,3,0.0
G0674,4,0.0
G0674,5,0.0
G0674,6,0.0
G0674,7,0.0
G0674,8,0.0
G0674,9,0.0
G0674,10,0.0
G0674,11,0.0
G0674,12,0.0
G0674,13,0.0
G0674,14,0.0
G0674,15,0.0
G0674,16,0.0
G0674,17,0.0
G0674,18,0.0
G0674,19,0.0
G0674,20,0.0
G0674,21,0.0
G0674,22,0.0
G0674,23,0.0
G0674,24,0.0
G0706,1,0.0
G0706,2,0.0
G0706,3,0.0
G0706,4,0.0
G0706,5,0.0
G0706,6,0.0
G0706,7,0.0
G0706,8,0.0
G0706,9,0.0
G0706,10,0.0
G0706,11,0.0
G0706,12,0.0
G0706,13,0.0
G0706,14,0.0
G0706,15,0.0
G0706,16,0.0
G0706,17,0.0
G0706,18,0.0
G0706,19,0.0
G0706,20,0.0
G0706,21,0.0
G0706,22,0.0
G0706,23,0.0
G0706,24,0.0
G0709,1,0.0
G0709,2,0.0
G0709,3,0.0
G0709,4,0.0
G0709,5,0.0
G0709,6,0.0
G0709,7,0.0
G0709,8,0.0
G0709,9,0.0
G0709,10,0.0
G0709,11,0.0
G0709,12,0.0
G0709,13,0.0
G0709,14,0.0
G0709,15,0.0
G0709,16,0.0
G0709,17,0.0
G0709,18,0.0
G0709,19,0.0
G0709,20,0.0
G0709,21,0.0
G0709,22,0.0
G0709,23,0.0
G0709,24,0.0
G0741,1,0.0
G0741,2,0.0
G0741,3,0.0
G0741,4,0.0
G0741,5,0.0
G0741,6,0.0
G0741,7,0.0
G0741,8,0.0
G0741,9,0.0
G0741,10,0.0
G0741,11,0.0
G0741,12,0.0
G0741,13,0.0
G0741,14,0.0
G0741,15,0.0
G0741,16,0.0
G0741,17,0.0
G0741,18,0.0
G0741,19,0.0
G0741,20,0.0
G0741,21,0.0
G0741,22,0.0
G0741,23,0.0
G0741,24,0.0
G0743,1,0.0
G0743,2,0.0
G0743,3,0.0
G0743,4,0.0
G0743,5,0.0
G0743,6,0.0
G0743,7,0.0
G0743,8,0.0
G0743,9,0.0
G0743,10,0.0
G0743,11,0.0
G0743,12,0.0
G0743,13,0.0
G0743,14,0.0
G0743,15,0.0
G0743,16,0.0
G0743,17,0.0
G0743,18,0.0
G0743,19,0.0
G0743,20,0.0
G0743,21,0.0
G0743,22,0.0
G0743,23,0.0
G0743,24,0.0
G0912,1,0.0
G0912,2,0.0
G0912,3,0.0
G0912,4,0.0
G0912,5,0.0
G0912,6,0.0
G0912,7,0.0
G0912,8,0.0
G0912,9,0.0
G0912,10,0.0
G0912,11,0.0
G0912,12,0.0
G0912,13,0.0
G0912,14,0.0
G0912,15,0.0
G0912,16,0.0
G0912,17,0.0
G0912,18,0.0
G0912,19,0.0
G0912,20,0.0
G0912,21,0.0
G0912,22,0.0
G0912,23,0.0
G0912,24,0.0
